name,count,average_score
worst,2,0.001589709
anmal,2,0.001589709
ever,2,0.001589709
year,3,0.003581981
old,3,0.003581981
single,2,0.001589709
woman,2,0.001589709
cats,54,0.051925729
like,8,0.116121554
antiman,2,0.001589709
daughter,2,0.000652013
begging,2,0.000652013
one,7,0.010682922
hate,4,0.001727843
might,2,0.000652013
lose,2,0.000652013
battle,2,0.000652013
woke,4,0.023139446
impromptu,2,0.012328378
cat,122,0.124395522
nap,5,0.017804521
realy,2,0.002803672
man,2,0.002803672
unless,2,0.002803672
pharo,2,0.002803672
somerhing,2,0.002803672
ram,2,0.607343915
ordered,2,0.607343915
email,2,0.607343915
inbox,2,0.607343915
printer,2,0.607343915
setup,2,0.607343915
fed,2,0.607343915
trash,2,0.607343915
taken,2,0.607343915
time,5,0.248597554
video,3,0.409805178
games,3,0.409805178
favorite,2,0.000857447
thing,2,0.000857447
say,2,0.000857447
grove,2,0.000857447
cant,6,0.0798663
stand,2,0.000857447
place,2,0.000857447
record,2,0.000857447
love,5,0.032408258
lolcats,3,0.048174075
much,4,0.001295398
gar,2,0.011838834
sprocket,2,0.011838834
wants,4,0.045966338
eat,4,0.006426237
food,6,0.027342372
steals,2,0.011838834
othello,2,0.011838834
space,2,0.080093841
karraveth,2,0.080093841
successful,2,0.000290572
rescue,3,0.218700865
however,3,0.02082411
mouse,5,0.181569232
looking,2,0.000290572
good,5,0.023553459
returned,2,0.000290572
wild,4,0.198085269
hope,2,0.000290572
recovery,2,0.000290572
admonished,2,0.000290572
hungry,3,0.001013616
kitty,10,0.275276595
isnt,5,0.416733299
normal,2,0.645883962
though,4,0.325336356
smile,5,0.274303591
hes,4,0.324186662
crazy,2,0.645883962
hehehe,2,0.645883962
use,2,0.002260604
shoot,2,0.002260604
litter,6,0.011892632
bought,5,0.141957694
boxes,2,0.002260604
lid,2,0.002260604
best,2,0.002260604
money,2,0.002260604
ive,3,0.00156583
spent,2,0.002260604
chasing,3,0.032000078
another,2,0.030962043
frog,2,0.030962043
house,3,0.022243873
dogs,9,0.030069109
im,10,0.018136182
telling,2,0.048123378
mammalian,2,0.048123378
miscegenation,2,0.048123378
everywhere,2,0.048123378
lap,2,0.185534787
drooling,2,0.185534787
pet,3,0.12685194
new,7,0.32321952
blog,5,0.550930022
post,4,0.500927783
care,5,0.458908656
tips,4,0.500927783
ought,2,0.500927783
know,3,0.500927783
URL,38,0.121326796
watches,2,0.042200486
tv,2,0.042200486
cute,4,0.053672162
boa,2,0.028473096
wachovia,2,0.028473096
living,2,0.028473096
together,2,0.028473096
mass,2,0.028473096
hysteria,2,0.028473096
o.o,2,0.028473096
listening,4,0.036707501
brian,2,0.039114387
michael,2,0.039114387
matchstalk,4,0.039114387
men,2,0.039114387
lowrys,2,0.039114387
song,2,0.039114387
mean,2,0.562179863
eyed,2,0.562179863
w,2,0.562179863
austin,2,0.562179863
peeps,2,0.562179863
escaped,2,0.230879076
sucks,3,0.022373636
rita,2,0.289424357
mae,2,0.289424357
brown,1,0.289424357
loves,3,0.143596226
hates,1,0.289424357
marriage,1,0.289424357
kickstarted,1,0.289424357
modern,1,0.289424357
lesbian,1,0.289424357
lit,1,0.289424357
got,4,0.469342768
kicked,1,0.289424357
writer,1,0.289424357
bro,1,0.289424357
brought,1,0.655521451
great,1,0.655521451
big,2,0.335289941
kitchen,1,0.655521451
covered,1,0.655521451
cobwebs,1,0.655521451
whose,1,0.655521451
jaws,1,0.655521451
firmly,1,0.655521451
clenched,1,0.655521451
mission,1,0.655521451
dastardly,1,0.456950619
today,3,0.154885262
boy,1,0.456950619
fast,1,0.456950619
lost,2,0.228544631
tonight,2,0.626568702
w00t,1,0.456950619
wait,3,0.156638795
empty,1,0.002459703
fridge,1,0.002459703
must,1,0.002459703
home,2,0.005013113
went,2,0.030198787
moon,1,0.044586782
matt,1,0.044586782
bumped,1,0.044586782
sees,1,0.044586782
paul,1,0.044586782
less,1,0.044586782
hours,1,0.044586782
looks,1,0.003725768
need,2,0.00976828
buy,1,0.003725768
prevent,1,0.003725768
heart,4,0.003721063
attack,2,0.004353165
king,1,0.066210699
trees,1,0.066210699
stevens,1,0.066210699
nice,1,0.297946981
game,1,0.297946981
moment,1,0.297946981
silence,1,0.297946981
smooth,1,0.297946981
joe,1,0.297946981
likes,2,0.047876245
hit,2,0.034928323
sitting,2,0.004879637
desk,1,0.009582991
give,3,0.008933325
attention,1,0.009582991
person,2,0.002935661
dog,8,0.019215827
friending,1,0.002935661
back,9,0.108318454
yes,1,0.002935661
still,4,0.005817719
vegan,1,0.002935661
dinner,1,0.002935661
reading,3,0.260258376
peters,1,0.750938976
entry,1,0.750938976
cool,1,0.750938976
slate,1,0.080093841
magazine,1,0.080093841
power,4,0.021033796
angry,3,0.002289097
moving,1,0.004840011
eating,2,0.005309206
box,1,0.004840011
corners,1,0.004840011
gahhd,1,0.004840011
ceiling,2,0.080093841
monks,2,0.080093841
askmefi,1,0.012844814
find,1,0.012844814
strange,1,0.012844814
pictures,2,0.077826073
anil,1,0.080093841
dash,1,0.080093841
grammar,1,0.080093841
want,3,0.029909688
party,1,0.014727705
guys,1,0.014727705
beer,3,0.058305129
inappropriate,1,0.014727705
urination,1,0.014727705
could,3,0.111575883
girl,3,0.362632617
holy,2,0.008972341
pickle,2,0.008972341
top,3,0.220429286
ten,2,0.008972341
awesome,4,0.020513327
remembering,2,0.013112446
jolted,2,0.013112446
awake,2,0.013112446
morning,2,0.013112446
earthquake,2,0.013112446
east,2,0.013112446
bay,2,0.013112446
scary,2,0.013112446
paintings,2,0.013112446
crooked,2,0.013112446
freaked,3,0.024214287
psapp,2,0.080093841
evrybody,2,0.080093841
doesnt,3,0.002105545
tell,2,0.003088961
sleeping,4,0.036885561
pillow,2,0.003088961
go,6,0.021648117
instead,2,0.001733349
sadder,2,0.001733349
absolutely,2,0.001706041
inside,2,0.001706041
head,2,0.001706041
last,2,0.001706041
days,3,0.003351307
call,2,0.001706041
whisperer,2,0.001706041
come,2,0.018346037
drools,2,0.018346037
yuck,2,0.018346037
picking,2,0.069174642
thats,5,0.030239908
dangerously,2,0.069174642
close,2,0.069174642
total,3,0.046162666
actual,2,0.069174642
value,2,0.069174642
damn,2,0.069174642
prima,2,0.069174642
donna,2,0.069174642
animals,2,0.069174642
tommy_the_cat,2,0.080093841
omg,2,0.065143838
crystal,2,0.065143838
pink,2,0.065143838
blue,2,0.065143838
hardcore,2,0.159999973
version,2,0.159999973
zelda,2,0.159999973
theme,2,0.159999973
meowing,2,0.159999973
ferociously,2,0.159999973
background,2,0.159999973
would,3,0.127297043
rock,2,0.159999973
pizza,2,0.080093841
intervening,2,0.013917879
final,2,0.013917879
conflict,2,0.013917879
begone,2,0.013917879
long,2,0.013917879
little,2,0.013917879
everybody,2,0.032054313
read,2,0.032054313
right,4,0.017735447
prohibitionera,2,0.032054313
cartoon,2,0.032054313
