name,count,average_score
hoodsnack,2,0.088201017
pickles,25,0.195036285
and,10,0.220914657
i,12,0.083349919
mean,3,0.121193679
a,19,0.295641864
whole,1,0.095051965
pickle,27,0.177247174
out,4,0.048527486
the,19,0.184248004
jar,2,0.10735927
eaten,1,0.095051965
of,8,0.144208201
sandwich,1,0.095051965
bag,2,0.13380709
purchased,1,0.095051965
from,3,0.153439981
candy,1,0.095051965
lady,1,0.095051965
need,3,0.068186721
to,12,0.12748289
go,2,0.024633042
store,1,0.003148588
im,2,0.002003007
eating,3,0.193644229
grilled,1,0.003148588
cheese.no,1,0.003148588
bread,2,0.002003007
so,5,0.039656131
on,4,0.127210683
some,3,0.131098886
sort,1,0.003148588
bun,1,0.003148588
its,1,0.003148588
ok,1,0.003148588
but,3,0.081298693
ran,1,0.003148588
USER_MENTION,23,0.202909741
what,4,0.141087825
thing,1,0.0643007
have,5,0.140400648
you,14,0.232213833
been,1,0.104711239
tucson,1,0.104711239
burger,1,0.104711239
city,1,0.104711239
URL,8,0.129042336
eat,1,0.104711239
burgers,1,0.104711239
for,4,0.227416715
art,1,0.104711239
bar,1,0.104711239
bekah,1,0.188130536
milk,1,0.188130536
with,3,0.129079845
nacho,1,0.188130536
cheese,2,0.098313535
salad,1,0.188130536
am,2,0.053903272
certainly,1,0.020544448
not,3,0.108686124
llieing,1,0.020544448
about,3,0.175710848
my,3,0.040803383
deathly,1,0.020544448
allergy,1,0.020544448
since,1,0.458685118
when,2,0.252401307
did,3,0.354169619
sonic,1,0.458685118
add,2,0.233590826
fried,4,0.2044107
menu,2,0.26906377
dill,3,0.098895543
chips,1,0.081350069
best,2,0.27406559
app,1,0.131589024
at,2,0.089278152
psycho,1,0.131589024
suzis,1,0.131589024
while,1,0.131589024
wait,1,0.131589024
no,1,0.131589024
rollups,1,0.131589024
please,2,0.326599844
backfire,1,0.131589024
dip,1,0.131589024
tots,1,0.131589024
channel,1,0.774258545
is,5,0.296791284
such,1,0.774258545
great,1,0.774258545
show,1,0.774258545
that,3,0.422873287
roving,1,0.774258545
news,1,0.774258545
reporter,1,0.774258545
jack,1,0.774258545
bauer,1,0.774258545
always,1,0.774258545
getting,2,0.432152243
himself,1,0.774258545
into,2,0.391910618
wonderful,1,0.774258545
telly,1,0.774258545
smile,6,0.221749554
who,1,0.416542157
makes,1,0.416542157
why,2,0.242285772
it,4,0.196185044
your,2,0.46907641
favorite,1,0.416542157
like,4,0.221852073
re,1,0.416542157
both,1,0.416542157
tex,1,0.416542157
monday,1,0.079442422
night,2,0.079442422
daddy,1,0.079442422
this,3,0.251546975
evenings,1,0.079442422
spaghetti,1,0.079442422
bolognese,1,0.079442422
garlic,1,0.079442422
yum,1,0.079442422
off,1,0.005689284
do,2,0.005689284
dishes,1,0.005689284
greens,1,0.005689284
know,2,0.18195581
how,2,0.007625988
live,1,0.005689284
or,3,0.32083335
chrisbrownsshirt,1,0.52288568
was,1,0.52288568
prize,1,0.52288568
in,4,0.334181284
la,2,0.307581243
county,1,0.52288568
fair,1,0.52288568
contest,1,0.52288568
haha,1,0.08109157
thread,1,0.08109157
girl,1,0.08109157
kinda,1,0.08109157
catchy,1,0.08109157
limes,1,0.077819159
are,5,0.165369066
duh,1,0.077819159
hoodsnacks,1,0.119666576
big,3,0.375212791
ass,2,0.099880208
sour,1,0.119666576
peppermint,1,0.119666576
stick,1,0.119666576
jammed,1,0.119666576
middle,1,0.119666576
davorite,1,0.05489842
food,1,0.05489842
everr,1,0.05489842
mr,3,0.186410732
veganmania,1,0.245601404
us,1,0.245601404
honour,1,0.245601404
selecting,1,0.245601404
our,2,0.245601404
giveaway,1,0.245601404
winners,1,0.245601404
name,1,0.245601404
hat,1,0.245601404
cat,1,0.245601404
as,1,0.245601404
scrutineer,1,0.245601404
had,1,0.368914125
cup,1,0.368914125
bowl,1,0.368914125
nachos,1,0.368914125
dinner,1,0.368914125
dont,3,0.230048289
u,1,0.368914125
dare,1,0.368914125
pass,1,0.368914125
judgement,1,0.368914125
hoodest,1,0.368914125
shit,1,0.368914125
ever,1,0.368914125
guests,1,0.008496534
arrive,1,0.008496534
hungry,1,0.008496534
charcuterie,1,0.008496534
board,1,0.008496534
never,2,0.041926092
goes,1,0.008496534
amiss,1,0.008496534
olives,1,0.008496534
whatever,2,0.012180559
comoliment,1,0.008496534
nofilter,1,0.008496534
yeah,3,0.087637989
we,2,0.231184801
play,1,0.231184801
hide,1,0.231184801
really,2,0.294703568
confine,1,0.231184801
just,3,0.184138514
christmas,1,0.231184801
saying,1,0.231184801
hey,1,0.521610664
start,1,0.521610664
selling,1,0.521610664
stores,1,0.521610664
miss,1,0.01540995
spears,1,0.135894138
salt,1,0.135894138
mad,1,0.135894138
tasty,1,0.135894138
mm,2,0.51109968
does,1,0.009562691
dish,1,0.009562691
fit,1,0.009562691
nobody,1,0.000857427
told,1,0.000857427
me,1,0.000857427
they,1,0.000857427
were,2,0.045451684
making,1,0.000857427
subs,1,0.000857427
using,1,0.000857427
instead,1,0.000857427
now,2,0.011045685
freaking,1,0.000857427
dat,1,0.000857427
sterling,1,0.190037412
fork,3,0.190037412
three,1,0.190037412
prongs,1,0.190037412
splayed,1,0.190037412
silver,1,0.190037412
replacement,1,0.190037412
flatware,1,0.190037412
monogram,1,0.190037412
b,1,0.190037412
table,1,0.190037412
place,1,0.190037412
settings,1,0.190037412
wedding,1,0.190037412
gift,1,0.190037412
servingware,1,0.190037412
via,1,0.190037412
shots,1,0.090045941
be,3,0.103926523
ho,1,0.090045941
talk,1,0.090045941
ree,1,0.080093841
recipe,1,0.081349463
fermented,1,0.081349463
summer,1,0.081349463
squash,1,0.081349463
arnold,1,0.095038445
schwarzenegger,1,0.095038445
jamie,1,0.095038445
dyl,1,0.068029388
arent,1,0.068029388
hamburger,1,0.068029388
gibblets,1,0.068029388
race,1,0.068029388
sentient,1,0.068029388
ornithological,1,0.068029388
beings,1,0.068029388
genetically,1,0.068029388
engineered,1,0.068029388
sorryy,1,0.080093841
tried,1,0.237484535
frickles,1,0.237484535
if,2,0.451560174
ask,1,0.237484535
niall,1,0.237484535
he,1,0.237484535
might,1,0.237484535
hahha,1,0.237484535
see,1,0.665635812
tweet,1,0.665635812
love,1,0.665635812
d,1,0.665635812
texting,1,0.080093841
remy,1,0.080093841
head,1,0.080093841
eh,2,0.358222335
dude,1,0.358222335
pickled,1,0.358222335
cukes,1,0.358222335
right,2,0.189728139
canadians,1,0.358222335
juicy,1,0.886305222
sounds,1,0.886305222
delish,1,0.886305222
raspa,1,0.886305222
waterymouth,1,0.886305222
lol,1,0.886305222
sounded,1,0.07535565
sexy,1,0.07535565
macarena,1,0.092276805
de,1,0.092276805
okno,1,0.092276805
hacees,1,0.092276805
cucumbers,1,0.070505543
south,1,0.046117496
gotta,1,0.046117496
get,1,0.046117496
hahaha,1,0.200554147
um,1,0.200554147
liv,1,0.200554147
theres,1,0.200554147
something,1,0.200554147
tell,1,0.200554147
p,1,0.200554147
hahaa,1,0.046967279
can,1,0.046967279
peanutbutter,1,0.046967279
house,1,0.046967279
next,1,0.046967279
time,1,0.046967279
tour,1,0.046967279
here,1,0.046967279
taste,1,0.046967279
good,2,0.09188099
ahh,1,0.172562216
yea,1,0.172562216
juice,1,0.172562216
zip,1,0.172562216
lock,1,0.172562216
keepitghetto,1,0.172562216
would,1,0.021233944
clutch,1,0.021233944
coach,1,0.015864584
pickledick,1,0.200499686
approves,1,0.200499686
dw,1,0.200499686
lets,1,0.200499686
cute,1,0.200499686
together,1,0.200499686
ha,1,0.136794701
fag,1,0.136794701
